Alimentador,Descripción,Umbral (%),Test evaluado,Modelo,MAPE (%),RMSE (kW),MAE (kW),R²,Cumple umbral
ALIN,Industrial,12.0,Test limpio (sin racionamiento),Persistencia (últimos 4 pasos),9.307,11.209,7.38,0.8728,True
ALIN,Industrial,12.0,Test limpio (sin racionamiento),Media Móvil,10.669,13.056,8.562,0.8263,True
ALIN,Industrial,12.0,Test limpio (sin racionamiento),Regresión Lineal,10.496,9.934,7.348,0.9151,True
ALIN,Industrial,12.0,Test limpio (sin racionamiento),LSTM v5 (residual),5.996,9.125,4.793,0.9213,True
ALIN,Industrial,12.0,Test completo (con racionamiento),Persistencia (últimos 4 pasos),9.932,11.371,6.397,0.9117,True
ALIN,Industrial,12.0,Test completo (con racionamiento),Media Móvil,11.507,13.429,7.575,0.8764,True
ALIN,Industrial,12.0,Test completo (con racionamiento),Regresión Lineal,11.801,11.086,7.891,0.9228,True
ALIN,Industrial,12.0,Test completo (con racionamiento),LSTM v5 (residual),6.573,9.518,4.549,0.9381,True
ALIN,Industrial,12.0,"Test completo (walk-forward, stride=4)",ARIMA,7.283,8.778,4.645,0.9471,True
ALUC,Urbano Residencial-Comercial,9.0,Test limpio (sin racionamiento),Persistencia (últimos 4 pasos),9.247,31.717,19.76,0.906,False
ALUC,Urbano Residencial-Comercial,9.0,Test limpio (sin racionamiento),Media Móvil,13.474,43.453,28.496,0.8251,False
ALUC,Urbano Residencial-Comercial,9.0,Test limpio (sin racionamiento),Regresión Lineal,5.392,17.628,11.179,0.971,True
ALUC,Urbano Residencial-Comercial,9.0,Test limpio (sin racionamiento),LSTM v5 (residual),2.156,12.069,4.762,0.9863,True
ALUC,Urbano Residencial-Comercial,9.0,Test completo (con racionamiento),Persistencia (últimos 4 pasos),11.528,59.397,27.508,0.7502,False
ALUC,Urbano Residencial-Comercial,9.0,Test completo (con racionamiento),Media Móvil,16.236,69.308,39.246,0.6567,False
ALUC,Urbano Residencial-Comercial,9.0,Test completo (con racionamiento),Regresión Lineal,8.032,43.296,18.696,0.8639,True
ALUC,Urbano Residencial-Comercial,9.0,Test completo (con racionamiento),LSTM v5 (residual),4.965,51.839,14.624,0.8068,True
ALUC,Urbano Residencial-Comercial,9.0,"Test completo (walk-forward, stride=4)",ARIMA,6.426,52.478,18.41,0.8202,True
ALUR,Urbano Residencial,12.0,Test limpio (sin racionamiento),Persistencia (últimos 4 pasos),7.148,23.486,16.934,0.8892,True
ALUR,Urbano Residencial,12.0,Test limpio (sin racionamiento),Media Móvil,9.401,30.041,22.139,0.8192,True
ALUR,Urbano Residencial,12.0,Test limpio (sin racionamiento),Regresión Lineal,4.519,15.924,10.611,0.9481,True
ALUR,Urbano Residencial,12.0,Test limpio (sin racionamiento),LSTM v5 (residual),2.361,9.179,5.261,0.9826,True
ALUR,Urbano Residencial,12.0,Test completo (con racionamiento),Persistencia (últimos 4 pasos),9.446,41.351,21.405,0.8097,True
